"ACCESSION"	"Distance"	"P.value"	"DEFINITION"
"NC_004722"	2.83788881652578	0.951940850277264	">gi|30018278|ref|NC_004722.1| Bacillus cereus ATCC 14579 chromosome, complete genome"
"NC_005957"	3.55699252076317	0.900668576886342	">gi|49476684|ref|NC_005957.1| Bacillus thuringiensis serovar konkukian str. 97-27 chromosome, complete genome"
"NC_005945"	3.76424495490762	0.898564593301435	">gi|49183039|ref|NC_005945.1| Bacillus anthracis str. Sterne chromosome, complete genome"
"NC_003997"	3.88305198572255	0.894736842105263	">gi|30260195|ref|NC_003997.3| Bacillus anthracis str. Ames chromosome, complete genome"
"NC_007929"	5.14156644694352	0.767123287671233	">gi|90960990|ref|NC_007929.1| Lactobacillus salivarius UCC118 chromosome, complete genome"
"NC_006814"	6.63780509709098	0.608040201005025	">gi|159162017|ref|NC_006814.3| Lactobacillus acidophilus NCFM chromosome, complete genome"
"NC_007795"	7.51846753459627	0.459219858156028	">gi|88193823|ref|NC_007795.1| Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete genome"
"NC_002528"	7.63854192447022	0.6015625	">gi|15616630|ref|NC_002528.1| Buchnera aphidicola str. APS (Acyrthosiphon pisum) chromosome, complete genome"
"NC_004668"	8.88350303631093	0.331259720062208	">gi|29374661|ref|NC_004668.1| Enterococcus faecalis V583 chromosome, complete genome"
"NC_002662"	10.5702920616285	0.293868921775899	">gi|15671982|ref|NC_002662.1| Lactococcus lactis subsp. lactis Il1403 chromosome, complete genome"
"NC_009613"	12.0432821722278	0.20979020979021	">gi|511542232|ref|NC_009613.3| Flavobacterium psychrophilum JIP02/86 complete genome"
"NC_006841"	12.7976455814039	0.184210526315789	">gi|172087787|ref|NC_006841.2| Vibrio fischeri ES114 chromosome II, complete sequence"
"NC_009089"	13.5478278209421	0.15967365967366	">gi|126697566|ref|NC_009089.1| Peptoclostridium difficile 630, complete genome"
"NC_003210"	13.6327565152634	0.170068027210884	">gi|16802048|ref|NC_003210.1| Listeria monocytogenes EGD-e chromosome, complete genome"
"NC_003098"	14.4696214037082	0.147420147420147	">gi|15902044|ref|NC_003098.1| Streptococcus pneumoniae R6 chromosome, complete genome"
"NC_004663"	14.6858016709522	0.153354632587859	">gi|29345410|ref|NC_004663.1| Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome"
"NC_006840"	15.3502727018728	0.122625215889465	">gi|172087630|ref|NC_006840.2| Vibrio fischeri ES114 chromosome I, complete sequence"
"NC_012926"	17.9076850486287	0.0815850815850816	">gi|253754647|ref|NC_012926.1| Streptococcus suis BM407 chromosome, complete genome"
"NC_000964"	18.7084127894403	0.100830367734282	">gi|255767013|ref|NC_000964.3| Bacillus subtilis subsp. subtilis str. 168 chromosome, complete genome"
"NC_000907"	19.3063196441928	0.087431693989071	">gi|16271976|ref|NC_000907.1| Haemophilus influenzae Rd KW20 chromosome, complete genome"
